date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:54:18	13666/13666	---M--	200	added ('OK')	text/html	etag:%22dc7e90219bdecab09716ed9e24959103%22	http://learn.shayhowe.com/	U:/learn.shayhowe/shayhowe/index-2.html	(from )
13:54:18	345/345	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2021%20Feb%202017%2021:54:26%20GMT	http://learn.shayhowe.com/robots.txt		(from )
13:54:19	8679/8679	---M--	200	added ('OK')	application/javascript	etag:%22c634460094fe04e4c5b78b25566757ff%22	http://learn.shayhowe.com/assets/javascripts/vendor/modernizr-2.8.1.js	U:/learn.shayhowe/shayhowe/assets/javascripts/vendor/modernizr-2.8.1.js	(from http://learn.shayhowe.com/)
13:54:19	154/154	---M--	302	error ('Moved%20Temporarily')	text/html	etag:%228c4dd1c62bdbd78d360f2fc5a0a9f492:1415222911%22	http://cloud.typography.com/6623692/607644/css/fonts.css	U:/learn.shayhowe/shayhowe/6623692/607644/css/fonts.1.delayed	(from http://learn.shayhowe.com/)
13:54:20	172435/172435	---M--	200	added ('OK')	text/css	etag:%22e2968c0644ef71e30ebab38d7e67201e%22	http://learn.shayhowe.com/assets/misc/type/239878/180FBBD7C8C4DD7EC.css	U:/learn.shayhowe/shayhowe/assets/misc/type/239878/180FBBD7C8C4DD7EC.css	(from http://learn.shayhowe.com/)
13:54:20	30165/30165	---M--	200	added ('OK')	text/css	etag:%226700c8644c993669fa4a7c3b2835a766%22	http://learn.shayhowe.com/assets/stylesheets/main.css	U:/learn.shayhowe/shayhowe/assets/stylesheets/main.css	(from http://learn.shayhowe.com/)
13:54:21	14820/14820	---M--	200	added ('OK')	text/html	etag:%2251d63f1eb06679ec6cb1f59f505fa753%22	http://learn.shayhowe.com/html-css/	U:/learn.shayhowe/shayhowe/html-css/index.html	(from http://learn.shayhowe.com/)
13:54:21	14094/14094	---M--	200	added ('OK')	text/html	etag:%2211ce6b7c80abf06c22975840032e337c%22	http://learn.shayhowe.com/advanced-html-css/	U:/learn.shayhowe/shayhowe/advanced-html-css/index.html	(from http://learn.shayhowe.com/)
13:54:21	16228/16228	---M--	200	added ('OK')	text/html	etag:%22a8f8d684775fe92e3d4e206d215c49de%22	http://learn.shayhowe.com/recommendations/	U:/learn.shayhowe/shayhowe/recommendations/index.html	(from http://learn.shayhowe.com/)
13:54:21	79816/79816	---M--	200	added ('OK')	image/png	etag:%228f7fcea07bc3401ce12524ef83654ad4%22	http://learn.shayhowe.com/assets/images/book/book-sm.png	U:/learn.shayhowe/shayhowe/assets/images/book/book-sm.png	(from http://learn.shayhowe.com/)
13:54:21	8015/8015	---MCZ	200	added ('OK')	application/javascript	etag:W/%221f4f-548a9de41dea4%22	http://cdn.carbonads.com/carbon.js?zoneid=1673&serve=C6AILKT&placement=learnshayhowecom	U:/learn.shayhowe/shayhowe/carbon6aba.js	(from http://learn.shayhowe.com/)
13:54:22	79502/79502	---M--	200	added ('OK')	text/html	etag:%2276b41ce5d9c7d5a2d5d24808709332fa%22	http://learn.shayhowe.com/html-css/building-your-first-web-page/	U:/learn.shayhowe/shayhowe/html-css/building-your-first-web-page/index.html	(from http://learn.shayhowe.com/)
13:54:22	81516/81516	---M--	200	added ('OK')	text/html	etag:%22760fe0e6e11adc2a5ac10f8b805653d4%22	http://learn.shayhowe.com/html-css/getting-to-know-html/	U:/learn.shayhowe/shayhowe/html-css/getting-to-know-html/index.html	(from http://learn.shayhowe.com/)
13:54:22	79145/79145	---M--	200	added ('OK')	text/html	etag:%226a9cb5b8b643454784d66fb9ad1df1f8%22	http://learn.shayhowe.com/html-css/getting-to-know-css/	U:/learn.shayhowe/shayhowe/html-css/getting-to-know-css/index.html	(from http://learn.shayhowe.com/)
13:54:22	87341/87341	---M--	200	added ('OK')	text/html	etag:%222cd7d28638880af9fee6229e11935c75%22	http://learn.shayhowe.com/html-css/opening-the-box-model/	U:/learn.shayhowe/shayhowe/html-css/opening-the-box-model/index.html	(from http://learn.shayhowe.com/)
13:54:22	97983/97983	---M--	200	added ('OK')	text/html	etag:%229033bf5565e64fa64468728eaf717a41%22	http://learn.shayhowe.com/html-css/positioning-content/	U:/learn.shayhowe/shayhowe/html-css/positioning-content/index.html	(from http://learn.shayhowe.com/)
13:54:23	99195/99195	---M--	200	added ('OK')	text/html	etag:%22eb2bbd9d66c317150549ee7e6b3ade32%22	http://learn.shayhowe.com/html-css/adding-media/	U:/learn.shayhowe/shayhowe/html-css/adding-media/index.html	(from http://learn.shayhowe.com/)
13:54:23	105142/105142	---M--	200	added ('OK')	text/html	etag:%22d88f6a70c2bfd5280a5c6a526594825d%22	http://learn.shayhowe.com/html-css/setting-backgrounds-and-gradients/	U:/learn.shayhowe/shayhowe/html-css/setting-backgrounds-and-gradients/index.html	(from http://learn.shayhowe.com/)
13:54:24	98525/98525	---M--	200	added ('OK')	text/html	etag:%22def00f2749709a9c5710008688d750a3%22	http://learn.shayhowe.com/html-css/creating-lists/	U:/learn.shayhowe/shayhowe/html-css/creating-lists/index.html	(from http://learn.shayhowe.com/)
13:54:24	129171/129171	---M--	200	added ('OK')	text/html	etag:%227fa760e14312cfd0c5abf0b8d4c127cd%22	http://learn.shayhowe.com/html-css/working-with-typography/	U:/learn.shayhowe/shayhowe/html-css/working-with-typography/index.html	(from http://learn.shayhowe.com/)
13:54:24	112171/112171	---M--	200	added ('OK')	text/html	etag:%228d4631f0187489a81bb6231dc2d5aa0f%22	http://learn.shayhowe.com/html-css/building-forms/	U:/learn.shayhowe/shayhowe/html-css/building-forms/index.html	(from http://learn.shayhowe.com/)
13:54:25	5774/5774	---M--	200	added ('OK')	application/javascript	etag:%224e6b9d82e738a252b73f26cfa237b6a5%22	http://learn.shayhowe.com/assets/javascripts/main.js	U:/learn.shayhowe/shayhowe/assets/javascripts/main.js	(from http://learn.shayhowe.com/)
13:54:25	77151/77151	---M--	200	added ('OK')	text/html	etag:%2230e14cc970dec2a86d756b0b77ca7955%22	http://learn.shayhowe.com/html-css/writing-your-best-code/	U:/learn.shayhowe/shayhowe/html-css/writing-your-best-code/index.html	(from http://learn.shayhowe.com/)
13:54:25	76354/76354	---M--	200	added ('OK')	text/html	etag:%22d6c2ef0501372355125bd8bc668a5bd7%22	http://learn.shayhowe.com/advanced-html-css/performance-organization/	U:/learn.shayhowe/shayhowe/advanced-html-css/performance-organization/index.html	(from http://learn.shayhowe.com/)
